0 [1.00e+00, 1.00e+00]
600 [9.02e-01, 1.14e+00]
1200 [8.38e-01, 1.19e+00]
1800 [7.38e-01, 1.27e+00]
2400 [5.95e-01, 1.39e+00]
3000 [4.00e-01, 1.55e+00]
3600 [1.45e-01, 1.76e+00]
4200 [-1.81e-01, 2.04e+00]
4800 [-5.25e-01, 2.37e+00]
5400 [-8.22e-01, 2.70e+00]
6000 [-1.07e+00, 3.01e+00]
6600 [-1.28e+00, 3.29e+00]
7200 [-1.47e+00, 3.56e+00]
7800 [-1.65e+00, 3.81e+00]
8400 [-1.81e+00, 4.05e+00]
9000 [-1.96e+00, 4.28e+00]
9600 [-2.10e+00, 4.49e+00]
10200 [-2.24e+00, 4.71e+00]
10800 [-2.37e+00, 4.92e+00]
11400 [-2.49e+00, 5.13e+00]
12000 [-2.61e+00, 5.33e+00]
12600 [-2.73e+00, 5.53e+00]
13200 [-2.84e+00, 5.73e+00]
13800 [-2.95e+00, 5.92e+00]
14400 [-3.06e+00, 6.11e+00]
15000 [-3.16e+00, 6.31e+00]
15600 [-3.26e+00, 6.50e+00]
16200 [-3.36e+00, 6.69e+00]
16800 [-3.46e+00, 6.89e+00]
17400 [-3.55e+00, 7.08e+00]
18000 [-3.65e+00, 7.28e+00]
18600 [-3.74e+00, 7.47e+00]
19200 [-3.83e+00, 7.67e+00]
19800 [-3.92e+00, 7.87e+00]
20400 [-4.01e+00, 8.07e+00]
21000 [-4.10e+00, 8.26e+00]
21600 [-4.18e+00, 8.46e+00]
22200 [-4.26e+00, 8.66e+00]
22800 [-4.34e+00, 8.86e+00]
23400 [-4.42e+00, 9.06e+00]
24000 [-4.50e+00, 9.26e+00]
24600 [-4.58e+00, 9.46e+00]
25200 [-4.65e+00, 9.67e+00]
25800 [-4.73e+00, 9.87e+00]
26400 [-4.80e+00, 1.01e+01]
27000 [-4.87e+00, 1.03e+01]
27600 [-4.93e+00, 1.05e+01]
28200 [-5.00e+00, 1.07e+01]
28800 [-5.07e+00, 1.09e+01]
29400 [-5.13e+00, 1.11e+01]
30000 [-5.19e+00, 1.13e+01]
30600 [-5.25e+00, 1.15e+01]
31200 [-5.31e+00, 1.17e+01]
31800 [-5.37e+00, 1.19e+01]
32400 [-5.42e+00, 1.21e+01]
33000 [-5.48e+00, 1.23e+01]
33600 [-5.53e+00, 1.25e+01]
34200 [-5.58e+00, 1.27e+01]
34800 [-5.63e+00, 1.29e+01]
35400 [-5.68e+00, 1.30e+01]
36000 [-5.73e+00, 1.32e+01]
36600 [-5.78e+00, 1.34e+01]
37200 [-5.82e+00, 1.36e+01]
37800 [-5.87e+00, 1.38e+01]
38400 [-5.91e+00, 1.39e+01]
39000 [-5.95e+00, 1.41e+01]
39600 [-5.99e+00, 1.43e+01]
40200 [-6.04e+00, 1.45e+01]
40800 [-6.08e+00, 1.46e+01]
41400 [-6.11e+00, 1.48e+01]
42000 [-6.15e+00, 1.50e+01]
42600 [-6.19e+00, 1.51e+01]
43200 [-6.23e+00, 1.53e+01]
43800 [-6.26e+00, 1.54e+01]
44400 [-6.30e+00, 1.56e+01]
45000 [-6.33e+00, 1.57e+01]
45600 [-6.36e+00, 1.59e+01]
46200 [-6.40e+00, 1.60e+01]
46800 [-6.43e+00, 1.61e+01]
47400 [-6.46e+00, 1.63e+01]
48000 [-6.49e+00, 1.64e+01]
48600 [-6.52e+00, 1.66e+01]
49200 [-6.55e+00, 1.67e+01]
49800 [-6.58e+00, 1.68e+01]
50400 [-6.61e+00, 1.69e+01]
51000 [-6.64e+00, 1.71e+01]
51600 [-6.66e+00, 1.72e+01]
52200 [-6.69e+00, 1.73e+01]
52800 [-6.71e+00, 1.74e+01]
53400 [-6.74e+00, 1.75e+01]
54000 [-6.76e+00, 1.77e+01]
54600 [-6.79e+00, 1.78e+01]
55200 [-6.81e+00, 1.79e+01]
55800 [-6.84e+00, 1.80e+01]
56400 [-6.86e+00, 1.81e+01]
57000 [-6.88e+00, 1.82e+01]
57600 [-6.90e+00, 1.83e+01]
58200 [-6.92e+00, 1.84e+01]
58800 [-6.94e+00, 1.85e+01]
59400 [-6.97e+00, 1.86e+01]
60000 [-6.99e+00, 1.87e+01]
